	Job Category																														
Senior Java/front End Engineer - J2ee/spring MVC	IT-Software / Software Services	"IT Software - Application Programming , Maintenance"	Programming & Design	Software Developer	"Minimum Qualifications :
- 5+ years professional experience and thorough understanding of Javascript (AJAX, jQuery, JSON), CSS3, HTML5, AngularJS
- JS or other framework
- Backend experience J2EE or Spring MVC a plus
- 5+ years experience developing business-class web applications
- Knowledge of responsive design
- Skills and/or current websites developed using Java on the server side a plus
- Ability to write thorough technical documentation
- Create and maintain end-to-end test cases and construct JUnit tests
- Perl 5 exposure a plus"	"Responsibilities :
- Review documentation, flowchart and develop new web application features and functionality
- Working closely with clients, QA testing and support
- Writing documentation and specifications
- Creativity, problem solving skills, strong work-ethic, and attention to detail
- Work well in a collaborative working environment, and encourage new ideas
- Ability to communicate clearly and professionally in writing and in person
Background/Other
- Ideal candidate should have a positive attitude, be a solution-driven problem solver and be able to work in a team environment as well as independently
- Strong references required"	5-8 years	Senior Java/front End Engineer - J2ee/spring MVC	Match																						
Java Developer - Spring MVC + Node.js & Angular.js	IT-Software / Software Services	"IT Software - Application Programming , Maintenance"	Programming & Design	Software Developer	" Required Experience and Skills:
    Minimum 3 - 5 years with Web application design, development and deployment using Node.js, Angular.js 1.0, 2.0, Javascript, Jquery
    Minimum 3 - 5 with years Java experience J2EE, Spring MVC
    Minimum 3 - 5 years with UI build : Grunt, Bower , Karma, JSON,
    Experience with MySQL and/or Oracle
    Expertise in Object Oriented Analysis and Design and Object Oriented development.
    In-depth understanding of Design Patterns and Java industry best practices
    Ability to work well in an Agile/Scrum team environment interacting with developers/QA across interdependent teams, program owners, designers, CRM campaigners, etc.
    Ability to work under tight time constraints with dynamic requirements
    Proven track record of delivering high quality and thorough design documents and code"	"Specific responsibilities will include:
    Design Java RESTful services using Java and J2EE design patternsDevelop and deploy applications to a J2EE container
    Design logical and physical data models optimized for high throughput and minimum latency requirements
    Produce high quality production software using industry best practicesProvide technical support and guidance for post release, production systems"	3-6 years	Java Developer - Spring MVC + Node.js & Angular.js	Match																						
Spring-mvc - Application Lead	IT-Software / Software Services	"IT Software - Application Programming , Maintenance"	Programming & Design	Team Lead/Technical Lead	"Skills - Spring-MVC Good to Have Skills : Web Services (SOAP/WSDL/UDDI), Program Project Mgmt Job Description Additional Comments : Needs to have strong experience in Spring-MVC and Java Web services. Need to have expertise in Java Technology and Project Management skills"	"Lead the effort to design, build and configure applications, acting as the primary point of contact"	4-6 years	Spring-mvc - Application Lead	Match																						
Java Developer - Spring/mvc	IT-Software / Software Services	"IT Software - Application Programming , Maintenance"	Programming & Design	Software Developer	"You must have :
- Around 4-5 years of software development experience in java/j2ee
- Working experience on Spring MVC, Hibernate, Mysql, Javascript/Jquery
- Strong knowledge of data structure and algorithms
- Strong academic background and problem solving skills
- Ability to communicate and defend your ideas clearly
- A desire to build products that users love
- An up to date knowledge of the newest technologies
Big Pluses if you :
- Know HTML, CSS, Javascript, Bootstrap and other core technologies of the web
- Experience working on real products that have shipped
- Are self-motivated and can get things done"	"Be core technology team member in the platform's growth being involved from concept stage to launch of new products and partnerships. You will build rich, dynamic products that feel simply magical.
You will develop features that solve real complex problems. You will get to work closely on every part of Platform- Front end, Back end & Analytics while you explore the latest technologies. While all this happen, you surely will have lots of fun too!"	4-5 years	Java Developer - Spring/mvc	Match																						
Spring- MVC Developer	IT-Software / Software Services	"IT Software - Application Programming , Maintenance"	Programming & Design	Software Developer	"MUST HAVE SKILLS : Spring MVC,JEE Architecture
Good to Have:
1.Should be able to understand High level designs and coding standards.
2. Should have good communication and presentation skills.
JOB REQUIREMENTS:
1. Worked on responsive UI based websites using Devops
2. Worked on Agile methodology
3. Experience in Test environment build, support & issue resolution
4. Worked on Detailed technical design
5. Experience in Build & code deployment automation
6. Provide development tool support
7. Experienced in Live implementation release scheduling and planning
8. Very well versed with core Java."	"Application Developer
ROLE DESCRIPTION : Design, build and configure applications to meet business process and application requirements."	3-6 years	Spring- MVC Developer	Match																						
`	IT-Software / Software Services	"IT Software - Application Programming , Maintenance"	Programming & Design	Software Developer	"Requirements :
- Proven hands-on Software Development experience
- Proven working experience in Java development
- Hands on experience in designing and developing applications using Java EE platforms
- Object Oriented analysis and design using common design patterns.
- Profound insight of Java and JEE internals (Classloading, Memory Management, Transaction management etc)
- Excellent knowledge of Relational Databases, SQL and ORM technologies (JPA2, Hibernate)
- Experience in the Spring Framework
- Experience as a Sun Certified Java Developer
- Experience in developing web applications using at least one popular web framework (JSF, Wicket, GWT, Spring MVC)
- Experience with test-driven development"	"JAVA Developer Responsibilities (FREELANCER AND FULL TIME) :
Include :
- Designing and developing high-volume, low-latency applications for mission-critical systems and delivering high-availability and performance
- Contributing in all phases of the development lifecycle
- Writing well designed, testable, efficient code
Job brief :
- We are looking for a Java Developer with experience in building high-performing, scalable, enterprise-grade applications.
- You will be part of a talented software team that works on mission-critical applications. Java developer roles and responsibilities include managing Java/Java EE application development while providing expertise in the full software development lifecycle, from concept and design to testing.
Responsibilities :
- Java developer responsibilities include designing and developing high-volume, low-latency applications for mission-critical systems and delivering high-availability and performance
- Contribute in all phases of the development lifecycle
- Write well designed, testable, efficient code
- Ensure designs are in compliance with specifications
- Prepare and produce releases of software components
- Support continuous improvement by investigating alternatives and technologies and presenting these for architectural review"	4-8 years	Java Developer - Spring/hibernate	Match																						
Java Developer with Cloud Integration	IT-Software / Software Services	"IT Software - Application Programming , Maintenance"	Programming & Design	Software Developer	"
Job Description
        Proven hands-on designing and developing applications using Java EE platforms
        Object Oriented analysis and design using common design patterns
        Profound insight of Java and JEE internals (Class loading, Memory Management, Transaction management etc.)
        Excellent knowledge of Relational Databases, SQL and ORM technologies (JPA2, Hibernate)
        Experience in the Spring Framework
        Any Certification would be an added advantage
        Experience in developing web applications using at least one popular web framework (JSF, Wicket, GWT, Spring MVC)
        Experience with XML, SOAP & Restful Web services
        Experience in integration with Oracle Cloud ERP applications"	"Desired Candidate Profile
        Experience working on all phases of a project Project Design, Configuration, Validation, Transition and Realization
        Good communication and interpersonal skills
        Interact directly with clients to gather requirements
        Effectively manages scope and customer expectations on individual assignments
        Follows through and takes ownership on all assignments given."	2-4 years	Java Developer with Cloud Integration	Match																						
Senior Software Engineer- Java (tier 1)	Internet / Ecommerce	"IT Software - Application Programming , Maintenance"	Programming & Design	Software Developer	"Desired Skills & Competencies :
    Experience in Python, Java, PHP or any other scripting language.
    Exposure to MVC frameworks such as Rails, Spring MVC, Django.
    Understanding and exposure to AWS infrastructure and its services
    Exposure to Postgres, Mysql (exposure to NoSql database related 
    technologies like Dynamo DB, Mongo DB, Redis, Aerospike, Cassandra 
    etc. 
    Experienced in handling end to end modules / client delivery 
    independently 
Ideal Candidate:
    B. Tech. M Tech, BS, MS or PhD in Computer Science or equivalent from a top tier college.
    3-6 years of experience at cutting edge organizations/startups/internet-
    product based companies
    Experience in developing applications from scratch with very high 
    efficiency coding and performance.
    Deep knowledge of data structures, algorithms and data base concepts 
    Open to learn new technologies and framework 
    Open-source contribution will be an add-on.
    Good communication and writing skills"	"Key Result Areas :
    Working knowledge on Java/PHP/Python, SQL programming 
    Responsible for appropriately structuring of code, developing modules, 
    testing and productionalizing the modules with minimal handholding 
    Own the delivery of modules with minimal supervision 
    Develop product release plan along with senior team members 
    Deliver product releases in rapid iterations & manage risks, dependencies, 
    quality issues, delivery and integration timelines 
    Contribute individually as well as in team also. 
    Ensure compliance with guidelines, framework and best practices of the 
    organization "	3-6 years	Senior Software Engineer- Java (tier 1)	Match																						
Java - Senior Software Engineer ( SSE )	IT-Software / Software Services	"IT Software - Application Programming , Maintenance"	Programming & Design	Software Developer	"Skills:
1. Solid knowledge of OOP software concepts, design patterns and responsive web design.
2. Excellent knowledge of Core Java, Java EE technologies like Servlet, JSP, Web services, JMS.
3. Strong experience in designing / developing with n-tier architectures (UI, Business Logic Layer, Data access Layer).
4. Hands on knowledge of HTML,CSS, Javascript, AJAX and jquery
5. Must have experience in any popular web application framework, such as Struts or Spring MVC or JSF
6. Must have experience in any ORM framework, such as Hibernate or MyBatis
7. Must have experience in any RDBMS, such as MySQL, SQL Server or Oracle
8. Experience in web server or application server, such as Tomcat, Jetty or JBoss.
9. Experience in any build / continuous integration tools such as Jenkins, ANT, Maven, or Gradle.
10. Skill for writing unit tests, familiarity with Junit or TestNG tools.
11. Proficient understanding of code versioning and configuration management tools, such as Git/SVN.
12. Familiarity with continuous integration tools like Jenkins would be a plus.
13. Familiarity with bug tracking or agile tracking tool, such as JIRA would be a plus.
14. Should possess good communication skill.
15. OCJP certification would be a plus."	"Responsibilities:
1. Contribute in all phases of the development lifecycle.
2. Write well designed, testable, efficient code for deliverables.
3. Translate application storyboards and use cases into functional applications.
4. Involved in Build management & bug tracking.
5. Owning the responsibility of deliverables and other project aspects like - mentoring team members, code review,
process adherence, client communication.
6. Troubleshooting development and production problems across multiple environments and operating platforms."	4-7 years	Java - Senior Software Engineer ( SSE )	Match																						
Senior Software Engineer-java	IT-Software / Software Services	"IT Software - Application Programming , Maintenance"	Programming & Design	Software Developer	"Job Description:
1. Hands on experience on a MVC framework (Spring/ Struts/JSF)
2. Hands on experience on a ORM framework (Hibernate/JPA)
3. Hands on experience on GUI design (User Interface) - good knowledge of Jquery/CSS
4. Good knowledge on Core Java
5. Team player
6. MVN and EJB knowledge will be an added advantage."	"Required:
Good communication skills / Soft skills
Excellent Problem solving skills
Bachelor's / Master's Degree."	5-10 years	Senior Software Engineer-java	Match																						
Java Developer (spring MVC)	IT-Software / Software Services	"IT Software - Application Programming , Maintenance"	Programming & Design	Software Developer	"Expert in Core java, Collections, JDBC,
Spring MVC, Java Persistentce API, HTML, Javascript, CSS, Ajax"	Urgent requirement for talented Java/J2ee Developers with one of India's Top and renowned IT company.(Pharma/ Healthcare domain)	3-5 years	Java Developer need (spring MVC)	Match																						
Senior Software Engineer/ Lead Software Engineer (java)	Internet / Ecommerce	"IT Software - eCommerce , Internet Technologies"	Programming & Design	Team Lead/Technical Lead	"Technical Specification:
Hands-on experience in Core J2EE or Core Java (collection, multithreading, OOPS concepts).
Hands on experience in designing and developing applications using Java EE platforms Object Oriented analysis and design using common design patterns.
Profound insight of Java and JEE internals (Classloading, Memory Management, Transaction management etc)
Excellent knowledge of Relational Databases, SQL and ORM technologies (JPA2, Hibernate)
Experience in the Spring Framework Experience in developing web applications using at least one popular web framework (JSF, Wicket, GWT, Spring MVC) Experience with test-driven development"	"Looking for dynamic individual who can add value to the highly scalable internet product (Wallet), someone who come with strong analytical & problem solving skill with below stated acumen."	3-8 years	Senior Software Engineer/ Lead Software Engineer (java)	Match																						
Java Developers	IT-Software / Software Services	"IT Software - Application Programming , Maintenance"	Programming & Design	Software Developer	"Technical Skill set/Framework ::
Preferred (similar to Lead profile)
MUST HAVE/Mandatory :
. SPRING MVC, SPRING JDBC, SPRING BATCH, Spring Data JPA, Hibernate Need to be strong in Spring and Hibernate
. Strong foundation in Core Java, BATCH, JDBC
. JUnits
Domain ::
Credit CARDs Processing
Please specify Nature of work :: Development (green field development)
Experience :: 2.5 + Years
Job Description :
Process architecture and design
Coding / Defect Fixing
Environment Set up
Deliverable documentation (like Design, Deployment artefacts)
Data Migration design implementation (as required)
BATCH Scheduling design implementation
Dev Integration Testing of Components being delivered"	"Role :: Java/J2EE Programmer Chennai
Operating Model : 3% Onsite and 97% Offshore"	2-5 years	Infosys Walk-in Interview for Java Developers	Match																						
JAVA Developer	IT-Hardware & Networking	"IT Software - eCommerce , Internet Technologies"	Programming & Design	Software Developer		"A solid foundation in computer science, with strong competencies in data structures, algorithms, software design principles and patterns.
Excellent problem-solving, analytical and troubleshooting skills, the ability to work with minimum guidance and communicate technical concepts clearly and effectively.
Expertise in server-side Java, object oriented design, MVC architecture - Spring MVC / Spring Core / Struts, XML, JMS, JSON, XSD, JAXB, SOAP, REST based Web Services, Hibernate, Ant / Maven /Gradle, Junit and application servers like Tomcat or related.
In depth knowledge of in PostgreSQL / Oracle / MySQL and exposure in NoSQL database is added advantage.
Experience in cloud service models (PaaS, IaaS) and mobile technologies (jQuery Mobile / Bootstrap / Angular JS) is added advantage."	3-7 years	Immediate Opening FOR JAVA Developer	Match																						
Senior Software Engineer- Java	IT-Software / Software Services	"IT Software - Application Programming , Maintenance"	Programming & Design	Software Developer		"Job Description:
    SQL Database concepts and working experience.
    Experience in Stored Procedure.
    Good experience in writing queries, exposure to DDL.
    Have hands on experience in writing code (Stored Procedures, Triggers, functions, Schema etc.)
    Must have excellent analytical skill
    Ability to work with teams and individually guide teams.
    Exhibits excellent command of English, both orally and written.
    Experience in different platforms, environment is a must.
    Strong Communication skills and coordination skills.
    High degree of professionalism, organisation, accuracy, and the ability to multi-task."	5-10 years	Senior Software Engineer- Java	Match																						
"Java, J2ee, UI Experts - Oracle"	IT-Software / Software Services	"IT Software - Application Programming , Maintenance"	Programming & Design	Software Developer	"  Required Skills: 
Expertise in core Java programming (5+ years) Expertise in Java web application design and development (5+ years, possibly overlapping with core Java experience)
 Understanding of requirements of large enterprise applications (ERPs, Automation Infrastructure Development, continuous product delivery model within Agile framework) 
Experience with some set of standard Java developments tools including IDEs, build frameworks, source code control, etc.
 Expertise in UI-design of distributed multi-tier applications using Java technology 
Good knowledge about dev Ops concepts & tools Expertise in UI-design of distributed multi-tier applications using Java technology"	"  Candidate must have significant expertise in implementing core Java applications as well as multi-tiered Java web applications.
 Designs and develops user interfaces to internet/intranet applications, determining design methodologies and tool sets;
 completing programming using languages and software products; designing and conducting tests. Convert Idea into concept and Implement utilities.
 Later convert and merge these utilities into mainstream product Candidate should be fluent in related technologies including databases, database interface layers, web browser display technologies, web protocols and standards, and associated Java development tools. 
Candidate will interface on a regular basis with other teams including other internal Dev and QA teams. 
Integrates applications by designing database architecture and server scripting; studying and establishing connectivity with network systems, search engines. 
Completes applications development by coordinating requirements, schedules, and activities Troubleshooting development and production problems across multiple environments and operating platforms. 
Supports users by developing documentation and assistance tools. Updates job knowledge by researching new internet/intranet technologies and software products; participating in educational opportunities; reading professional publications
 Enhances organization reputation by accepting ownership for accomplishing new and different requests; exploring opportunities to add value to job accomplishments. 
 Requirements 
BS/MS degree in Computer Science, Engineering or a related subject Proven hands-on Software Development experience Proven working experience in Java development Hands on experience in designing and developing applications using Java EE platforms Object Oriented analysis and design using common design patterns.
 Experience in developing web applications using at least one popular web framework (JSF, Wicket, GWT, Spring MVC) Excellent knowledge of SQL Experience in the Spring Framework Experience with test-driven development"	8-13 years	"Java, J2ee, UI Experts - Oracle"	Match																						
Senior Software Engineer	IT-Software / Software Services	"IT Software - Application Programming , Maintenance"	Programming & Design	Software Developer	"Job summary
Should have good experience in JSP, JQuery, Ajax and JavaScript.
Good experience in Spring (Must: Spring MVC, Spring Core, Spring Transactions, Spring ORM) and Hibernate (Must: Entity to database Mapping, HQL, Transaction management).
Individual Contributor Role with very good communication skills
Ability to be part of the complete SDLC & meet the delivery timelines with good quality
Ability to work independently and take initiatives"	"We are looking at someone with around 5+ years of experience, having good communication skills. "	5-8 years	Opportunity for Senior Software Engineer	Match																						
Software Developer- Java / J2EE Engineer	IT-Software / Software Services	"IT Software - Application Programming , Maintenance"	Programming & Design	Software Developer		"Candidate should have experience in developing Java /J2EE applications. Should be well versed with Design Patterns, Spring MVC, Jquery / Web services/ Tomcat /Eclipse IDE/ Hibernate. Knowledge of Angular JS / Bootstrap JS / Kendo UI is a big plus"	4-6 years	Software Developer- Java / J2EE Engineer	Match																						
J2ee with Spring MVC Professionals	IT-Software / Software Services	"IT Software - Application Programming , Maintenance"	Programming & Design	Software Developer	"Technical Skill set:
1) Java 6, Web Service, HTML 5, CSS3, JavaScript, Jquery, Hibernate, Angular JS
2) Spring Framework - Spring MVC, Spring JDBC, Spring Batch, Spring Security, Spring Data, Bootstrap, Responsive Web Design (RWD), Junit,Maven Itext
3) Working Exposure towards WebServices would be an added advantage"		3-8 years	Exceptional Openings for J2ee with Spring MVC Professionals	Match																						
Software Development Engineer I/ II - Java/ Spring/ Hibernate	IT-Software / Software Services	"IT Software - Application Programming , Maintenance"	Programming & Design	Software Developer		"We are looking for a highly capable, motivated Software Engineer to join us in building world class software. You will build highly available systems that scale to hundreds of millions of transactions. You will be an important part of a growing team building a product to find out the solution of inventory management.
Basic Qualifications:
- Strong background in data structure and algorithms
- Outstanding expertise in Java with Spring and Hibernate
- Experience with automated testing, including unit, functional, and integration testing
- Solid understanding of MySQL
- Ability to thrive in a dynamic, collaborative and fast-paced environment
- Strong problem-solving and analytical skills
- Experience in product development
Preferred Qualifications :
- At least 2-6 years of industry experience with a bachelor's or master's degree in CS or equivalent
- Advocate for quality coding and best practices"	2-6 years	Software Development Engineer I/ II - Java/ Spring/ Hibernate	Match																						
Chief Architect - Java/ Spring/ Mysql	IT-Software / Software Services	"IT Software - Application Programming , Maintenance"	Programming & Design	Technical Architect	"Desired Skills And Experience :
- A solid engineer at heart with excellent abstraction, coding and system design skills
- A proven track record of leading the architecture and delivery in a startup/e-commerce ecosystem
- Successfully architected and led technology for B2B products along with being an efficient proficient problem-solver who envisions business and technical perspectives to develop workable solutions.
- Excellent Java programming skills and expertise in multi-threading and performance oriented programming.
- Excellent computer fundamentals and problem solving skills
- Excellent data structures & algorithms skills
- Solid experience in Java, Spring, Hibernate, Angular2, web development, cloud technologies, MySQL database
- Must have experience in developing 1 or 2 scalable product from scratch
- Must have a degree in Computer Science from reputed colleges
- 8+ years of experience in software product development"	"Your Responsibilities :
- Own the architecture of NextSCM's Transaction/ Analytics platform for fashion supply chain
- Be a visible leader to drive and own the architecture and design of some of the most advanced & complex software systems / products in the industry to create company wide impact
- Help build, mentor and coach a team of very talented Engineers
- Accountable for the design, for the ease of evolution, quality of the systems, performance, scaling, and availability characteristics and limitations of the systems. Should be willing to spend time actively developing parts of the systems.
- Set directional paths for the teams/department for adoption of new technology stacks for solving business problems"	8-13 years	Chief Architect - Java/ Spring/ Mysql	Match																						
"Sse/tl Role-java, Spring,hibernate"	IT-Software / Software Services	"IT Software - Application Programming , Maintenance"	Programming & Design	Software Developer	"Technical Skills:
1. Must have Work experience of 4 to 7+ years primarily in J2EE environment with minimum 4 years development experience in J2EE, Hibernate, Spring, Web Sphere.
2. Must have work experience in developing high available, fault tolerant server application.
3. Good programming experience in J2EE with ORACLE Server in Windows/Linux platform and Middleware Technologies (JBOSS), Test Driven Development, Source Repository management, Continuous integration tools.
Desirable:
1. XML, Web Services, SOA Framework, Struts and Hibernate
2. Experience in PL/SQL and Stored procedures in Oracle with OS Linux will be preferred.
3. Hadoop / Bigdata experience will be a plus."	"Major Responsibility:
1. Back end server development in JAVA, J2EE with any application server JBOSS/WEBLOGIC with Oracle database in Windows and Linux platform.
2. To be Involved in Documentation like Unit Test case, Code Review, system test case preparation and integration.
3. Write Unit Test framework, review source code check in, Build automation."	4-7 years	"Job Opportunity with TOP MNC for Sse/tl Role-java, Spring,hibernate"	Match																						
Java(spring)	IT-Software / Software Services	"IT Software - Application Programming , Maintenance"	Programming & Design	Software Developer	"Job Specification:
- Bachelors degree in computer science or engineering with total of 5+ years of experience
- Strong 5+ years of core Java experience
- Experience with common design pattern
- Experience with j2ee, spring, hibernate is required
- Strong understanding of Angular JS
- Fully versed with SDLC process including agile methodology
- Strong and process oriented
- Strong verbal and written communication skills
- Strong team player and interpersonal skills
- Strong unix background is required
- Strong problem solving skills is a must and should be willing to provide production support
Primary Skills:
- Core Java
- Angular Js/HTML
- Spring
- Hibernate
- Web services"	"Job Responsibilities:
- Design and develop the strategic platform for the firm
- Development of various Java applications
- Assist team lead in executing the project plan and meeting due dates
- Assist QA team in building test plan and test scripts
- Assist team lead and/or own release management of the systems developed"	5-10 years	"Immediate Java(spring) Position with Capgemini, Bangalore"	Match																						
Backend Developer - Java/spring/hibernate	IT-Software / Software Services	"IT Software - Application Programming , Maintenance"	Programming & Design	Software Developer	"(Skills good to have)
- Exposure to building service oriented distributed systems
- In building systems that process big data in a distributed environment, either in real time streaming or offline batching.
- In messaging systems like Kafka, RabbitMQ, kinesis, etc.
- In real time computation tools like Storm / Spark or Hadoop based tools.
- In Data warehousing technologies like Redshift, BigQuery, etc. "	"(Required/ Mandate Skills) :
- Hands on Java Engineers, with experience building consumer facing or enterprise applications using Java stack - Spring, Hibernate, MySQL
- Strong problem solving and analytical skills
- Strong understanding of Object Oriented Programming concepts and Design patterns."	2-7 years	Backend Developer - Java/spring/hibernate	Match																						
"Java, Spring, Hibernate, Junit Testing with TDD / BDD"	IT-Software / Software Services	"IT Software - Application Programming , Maintenance"	Programming & Design	Software Developer	"Skill: Java Fullstack Developer
Primary & Mandate skills:
Java, Spring, Hibernate, Junit testing with TDD ( Test driven development) or BDD (Behavioral Driven Development)
Secondary skills:
SOA or REST API, microservices, Java script, continuous integration (CI)/continuous delivery (CD) with any of these tools (GIT or Jenkins or deployit or sonar qube), agile development, dependency injection, spring modules with any of these tools (core, spring boot, spring MVC)."	"Very good opening for Java, Spring, Hibernate, Junit testing with TDD ( Test driven development) or BDD (Behavioral Driven Development)"	4-9 years	"Java, Spring, Hibernate, Junit Testing with TDD / BDD - Bangalore"	Match																						
Java Developer - Spring/hibernate/struts	IT-Software / Software Services	"IT Software - Application Programming , Maintenance"	Programming & Design	Software Developer	"Skills (as below but not limit to) :
1. Core Java with Data structures
2. Java and J2EE
3. Struts/Spring, Hibernate &Frameworks
4. OOP/OOD
5. Depth knowledge of Core Java, JDBC, Servlets, JSP, HTML, JavaScript, CSS "	"Responsibilities :
1. Code, develop, design and architect features related to the existing application We expect you to own modules end to end and take pride in the work products you ship.
2. Lead from the front, when it comes to delivering high quality work products. Serve as a mentor to the team members (more juniors)
3. Create and define performance metrics. Ideate, innovate and go through the existing systems to improve performance.
4. Perform code reviews, set coding practices and guidelines within the team.
5. Learn New technologies as per the current and pipe-line requirements ex: Angular J, PhP etc
6. Make sense of the product specs, be nimble in getting the issues resolved. Be a thought leader
Profile Pickups :
1. Engineering Degree from an institute of repute, typically with an experience of 1 to 2yrs
2. Solid understanding and knowledge of Java. Be well versed with the Java stack. OOPS
3. Proficiency in implementation of algorithms and use of advanced data structures to solve problems in computing. A solid foundation in principles of computer science is desired.
4. Ability to write clean, modular and loosely coupled code by the use of design patterns.
5. Ability to think and understand scale. Numbers shouldn't frighten you.
Love to Hear :
1. You are language-agnostic and will pick up a new technology at the drop of a hat.
2. You have enjoyed working in a start up.
3. You hack."	2-5 years	Java Developer - Spring/hibernate/struts	Match																						
Project Manager / Project Lead / Technical Manager - Java / Spring	IT-Software / Software Services	"IT Software - Application Programming , Maintenance"	Programming & Design	Project Lead	"Mandatory requirement:
1.1. 7+ yrs of exp. in IT
1.2. Must have exp. in Java and Spring and Hibernate and Rest
1.3. Must have Team handling skills for Project Manager / Project Lead / Technical Manager"	"Project Manager / Project Lead / Technical Manager / Technical Lead for Java, Spring & Hibernate."	7-10 years	Project Manager / Project Lead / Technical Manager - Java / Spring	Match																						
Java with Spring Boot	IT-Software / Software Services	"IT Software - Application Programming , Maintenance"	Programming & Design	Software Developer	Java Spring Boot Activemq Play Framework Rabbitmq Cassandra Oracle NoSQL Software Development Life Cycle Web Technologies	"4+ years of experience.
Experience with the entire software development lifecycle from inception to testing to production deployment
Strong communication skills,
Excellent Java or equivalent object-oriented language development skills
Oracle or NoSQL (Cassandra/Mongo) database experience.
Messaging using Kafka, ActiveMQ or RabbitMQ
Familiarity with one or more common web frameworks such as the Spring Boot or Play framework
Comfortable working on Linux-based systems
Solid understanding of cloud native application architectures such as micro services and twelve-factor applications.
Experience working in an Agile/Scrum environment
B.E/BTech in Computer Science"	4-7 years	Excellent Opportunity - Java with Spring Boot - 3 Opening(s)	Match																						
Java Developer - J2ee/spring/hibernate	IT-Software / Software Services	"IT Software - Application Programming , Maintenance"	Programming & Design	Software Developer	"Skill Set :
- Java/J2EE
- Spring
- Hibernate
- Enterprises applications
- Restful Web services
- JPA
- Socket Programming"	"Overview :
- Hands on Java Developer - 4 to 11 year SW Development Experience
- Product Development experience with Server Side enterprise Core Java
- Object Oriented Design
- Core Java Multithreading
- Core Java Custom Exceptions"	12-20 years	Java Developer - J2ee/spring/hibernate	Match																						
Senior Java Agile XP Developer - Soa/spring/hibernate	IT-Software / Software Services	"IT Software - Application Programming , Maintenance"	Programming & Design	Software Developer	"General Qualifications:
- Experience in the development of complex SQL queries
- Excellent communication skills
- Excellent command of the IDE
- Experience with SOA (Service-Oriented Architecture) application design and development
- Experience in an Agile/Scrum environment desired
- Experience with Test-Driven Development (TDD).
- Experience in paired programming.
- Ability and willingness to travel to client's sites to coach and be an embedded developer on XP practices.
- 5+ plus years of Java programming experience
- 5+ years of object-oriented (OO) development and design
- UI development experience with JSP, HTML, and JavaScript
- Experience writing and consuming SOAP and REST services
- Experience with Spring and Hibernate
- Experience with JUnit/TestNG"	"Description:
- Our client is a leading provider of Agile consulting, training, and distributed Agile software development, is looking for Java Developers to support our growing customer base.
- This individual will work at client as part of a team developing an application for one of our major clients.
- The ideal candidate will have excellent communication skills, interest in technical practices, and will have worked in an Agile/Scrum environment with Extreme Programming (XP) practices.
Responsibilities:
- Analyze, code, test, and document new functionality and fixes for defects in software applications.
- Redesign existing systems for improved performance, reliability, or functionality.
- Create, modify, and validate databases.
- Work with other disciplines (Test, PM, Operations) and partner teams to gather and prioritize requirements.
- Work with the team to estimate new work."	5-8 years	Senior Java Agile XP Developer - Soa/spring/hibernate	Match																						
"Java / J2EE - Spring, Hibernate"	IT-Software / Software Services	"IT Software - Application Programming , Maintenance"	Programming & Design	Software Developer	"Desired Candidate Profile
    Overall 3 - 9 yrs. of design/development experience using Java technology stack.
    Should be strong in OOPS concepts, Core Java, Collections
    Should have experience in Web Technologies JSP2.0 and Servlets2.3 & JSTL1.2.
    Should have experience in JDBC and any OR mapping engines (Hibernate, iBatis etc.).
    Should have knowledge on any one of web frameworks and Persistence framework.
    Ability to develop JAXWS standard Web services to expose and consume.
    Should have knowledge on EJB.
    Should have experience on various application server platforms and their supporting tools (Weblogic, Jboss and Websphere etc.,)
    Ability to write build/configuration scripts using Build tools (Ant, Maven and scripting)
    Should have experience on various design patterns
    Should have knowledge on UML (Class, Sequence, Domain Model)
    Strong knowledge on RDBM concepts. Ability to Write SQL with complex joins and should be able to use database functions
    Should have knowledge on Configuration Tools (Subversion, CVS etc.,)"	"The key job responsibilities include the following:
Solve technically complex problems along with impact analysis.
Assess the impacts on technical design because of the changes in functional requirements.
Perform independent code reviews and execute unit tests on modules developed by self and other junior team members on the project.
Participate in daily status calls/reporting the task status to leads "	3-8 years	"Java / J2EE - Spring, Hibernate"	Match																						
Java Dev with Spring Boot	IT-Software / Software Services	"IT Software - Application Programming , Maintenance"	Programming & Design	Software Developer	"Java developer, minimum of 6-8 years of enterprise level experience, Spring or other JEE components.
Expert with Java Spring, Spring MVC, Spring Boot, Spring ORM/ JDBC.
JavaGit would be a big plus.
Excellent communication skills, both spoken and written, in English."		6-9 years	Excellent Opening for Java Dev with Spring Boot @ Bangalore Location.	Match																						
Java Professional - Spring / Hibernate	IT-Software / Software Services	"IT Software - Application Programming , Maintenance"	Programming & Design	Software Developer	"SKills :
- Java/j2ee
- Hibernate
- Spring
- Angular js
- Core java
- Java script
- Jquery
- Ajax
- Webservices
- Hands on experience in Core Java, Servlets, JSP, JDBC, JSF.
- Hands on experience in Struts and Spring Frame works.
- Hands on experience in using Tomcat, Jboss servers."		3-8 years	Java Professional - Spring / Hibernate	Match																						
